tomzcode,record,Country,ACT,YEAR,SIC,TYPE,FIRMS,SECTOR,REGION,mass,scode,spage,source
613,457,abu dhabi,6401,1972,131,cont,2,pet,mide,s,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
613,458,abu dhabi,6402,1973,130,sale,1,pet,mide,s,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
615,152,afghanistan,2301,1975,600,nat,1,bank,asia,s,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
615,153,afghanistan,2302,1979,308,int,1,mfg,asia,s,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,459,algeria,6501,1962,130,nat,1,pet,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,460,algeria,6502,1963,308,,3,mfg,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,461,algeria,6503,1965,331,nat,1,mfg,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,462,algeria,6504,1966,100,,11,min,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,463,algeria,6505,1967,130,nat,7,pet,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,464,algeria,6506,1967,461,sale,2,pet,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,465,algeria,6507,1967,284,nat,1,mfg,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,466,algeria,6508,1968,308,,26,mfg,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,467,algeria,6509,1968,284,,1,mfg,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,468,algeria,6510,1968,600,nat,7,bank,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
588,469,algeria,6511,1968,291,nat,1,pet,mide,m,2584,paper copy of data,"{Kobrin, 1984 #2584, Paper copy of data provided by Stephen J. Kobrin, University of Pennsylvania, on January 5, 1998.}"
