cowcode	year	FDI_UNCTAD_2	capex2000	capex09_152000	oecd	ICRG	sum_pending_full	sum_pending_full_indirect	sum_pending_full_direct	sum_pending_full_proInv	sum_pending_full_FET	polity2	GDP_growth	cusum	ka_open	USBIT	notdirect	notindirect	notFET	USPending	USI	USD	USFE	USnonFET	USnonD	USnonI	sum_ICSID_pending_direct	sum_ICSID_pending_indirect	sum_ICSID_pending_FET	sum_ICSID_pending_Full	ICSIDnotdirect	ICSIDnotindirect	ICSIDnotFET
2.0	1984.0	25567.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	7.259087	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1985.0	20490.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	4.2387376	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1986.0	36145.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	3.5116146	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1987.0	59581.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	3.4617476	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1988.0	58571.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	4.203972	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1989.0	69010.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	3.680524	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1990.0	48422.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	1.9193703	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1991.0	22799.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	-0.07408453	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1992.0	19222.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	3.555396	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1993.0	50663.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	2.7458568	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1994.0	45095.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	4.0376434	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1995.0	58772.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	2.7189758	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1996.0	84455.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	3.7958813	23.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1997.0	103398.0			1.0	4.0	0.0	0.0	0.0	0.0	0.0	10	4.4870267	28.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1998.0	174434.0			1.0	4.0	1.0	1.0	0.0	0.0	1.0	10	4.449911	29.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
2.0	1999.0	283376.0			1.0	4.0	3.0	3.0	0.0	0.0	3.0	10	4.6851997	29.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	1.0	1.0
2.0	2000.0	314007.0			1.0	4.0	4.0	3.0	0.0	0.0	4.0	10	4.0921764	29.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	4.0	4.0	3.0
2.0	2001.0	159461.0			1.0	4.0	4.0	3.0	0.0	0.0	4.0	10	0.97598183	36.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0	4.0
